SAP NPM_910-00080_D_PRIM,Количество
1014134,2
1014040,2
1017914,1
1014130,1
1014069,1
1024264,2
1014280,12
1018802,2
1014043,5
1026725,2
1014071,3
1014182,1
1015341,1
1014044,7
1014246,1
1014133,10
1029444,1
1014047,1
1014031,1
1013867,1
1018507,1
1014277,5
1013868,1
1014281,2
1023494,2
1014060,2
1025850,1
1017069,2
1014042,1
1014035,1
1014084,1
1018294,1
1014274,1
1014271,3
1025849,2
1014529,4
1017042,3
1018221,2
