1013653,1,4708
1013770,2,9416
1013868,1,4708
1014034,4,18832
1014035,1,4708
1014036,4,18832
1014038,1,4708
1014040,9,42372
1014043,30,141240
1014044,18,84744
1014047,4,18832
1014049,1,4708
1014055,1,4708
1014057,2,9416
1014065,1,4708
1014071,1,4708
1014072,5,23540
1014082,1,4708
1014085,1,4708
1014127,2,9416
1014130,2,9416
1014133,10,47080
1014156,1,4708
1014235,1,4708
1014237,1,4708
1014238,1,4708
1014239,2,9416
1014240,3,14124
1014242,4,18832
1014243,4,18832
1014244,1,4708
1014249,3,14124
1014250,1,4708
1014252,1,4708
1014253,1,4708
1014254,2,9416
1014255,1,4708
1014256,3,14124
1014258,3,14124
1014267,7,32956
1014271,12,56496
1014272,1,4708
1014274,4,18832
1014276,11,51788
1014277,40,188320
1014278,1,4708
1014279,3,14124
1014280,24,112992
1014282,5,23540
1014283,2,9416
1014285,2,9416
1014301,1,4708
1014439,11,51788
1014441,3,14124
1014442,3,14124
1014475,1,4708
1014529,1,4708
1014591,6,28248
1014786,2,9416
1014812,4,18832
1014823,1,4708
1015105,1,4708
1015193,2,9416
1015215,3,14124
1015217,1,4708
1015614,1,4708
1016253,1,4708
1016286,1,4708
1016369,1,4708
1016402,1,4708
1016520,1,4708
1016837,1,4708
1017069,6,28248
1017116,3,14124
1017564,5,23540
1017992,2,9416
1018263,1,4708
1018606,1,4708
1019161,1,4708
1019751,4,18832
1019953,3,14124
1021646,2,9416
1021685,5,23540
1021805,16,75328
1021831,1,4708
1021834,3,14124
1021852,2,9416
1021931,1,4708
1021997,1,4708
1022792,2,9416
1023271,1,4708
1023471,1,4708
1023476,1,4708
1023491,16,75328
1023494,5,23540
1023903,1,4708
1025469,1,4708
1025684,4,18832
1025849,9,42372
1025850,7,32956
1025943,1,4708
1026403,1,4708
1026406,2,9416
1026661,1,4708
1026782,2,9416
1027841,10,47080
1030159,1,4708
1033625,1,4708
1039375,4,18832
1039376,1,4708
1042753,1,4708
1047907,1,4708
1048305,2,9416
1049310,1,4708
1049594,1,4708
1056373,1,4708
