1013653,1,3000,1013653
1013770,2,6000,1013770,1057965,1057906,1057905,1057903
1013868,1,3000,1013868
1014034,4,12000,1014034
1014035,1,3000,1014035
1014036,4,12000,1016175
1014038,1,3000,1058199
1014040,9,27000,1014040
1014043,30,90000,1014043
1014044,18,54000,1014044
1014047,4,12000,1014047
1014049,1,3000,1014049
1014055,1,3000,1014055
1014057,2,6000,1014057
1014065,1,3000,1014065
1014071,1,3000,1014071
1014072,5,15000,1014072
1014082,1,3000,1014082
1014085,1,3000,1014085
1014127,2,6000,1014127
1014130,2,6000,1014130,1056927,1042263
1014133,10,30000,1052317
1014156,1,3000,1014156
1014235,1,3000,1014235
1014237,1,3000,1014237
1014238,1,3000,1014238
1014239,2,6000,1014239
1014240,3,9000,1014240
1014242,4,12000,1014242
1014243,4,12000,1014243
1014244,1,3000,1014244
1014249,3,9000,1042922
1014250,1,3000,1044021,1041321
1014252,1,3000,1039967
1014253,1,3000,1014253
1014254,2,6000,1041272
1014255,1,3000,1014255
1014256,3,9000,1014256
1014258,3,9000,1014258,1048480,1041873,1041864,1041769
1014267,7,21000,1033214
1014271,12,36000,1014271
1014272,1,3000,1014272
1014274,4,12000,1031397
1014276,11,33000,1014276,1042921
1014277,40,120000,1041778
1014278,1,3000,1040800
1014279,3,9000,1037888
1014280,24,72000,1040009
1014282,5,15000,1038704,1041070
1014283,2,6000,1039713
1014285,2,6000,1014285
1014301,1,3000,1014301
1014439,11,33000,1014439
1014441,3,9000,1014441
1014442,3,9000,1014442
1014475,1,3000,1047323
1014529,1,3000,1014529
1014591,6,18000,1014591
1014786,2,6000,1014786
1014812,4,12000,1014812
1014823,1,3000,1014823
1015105,1,3000,1015105
1015193,2,6000,1015193
1015215,3,9000,1015215
1015217,1,3000,1015217
1015614,1,3000,1015614
1016253,1,3000,1016253
1016286,1,3000,1016286
1016369,1,3000,1016369
1016402,1,3000,1016402
1016520,1,3000,1030835
1016837,1,3000,1016837
1017069,6,18000,1052672
1017116,3,9000,1017116
1017564,5,15000,1030872
1017992,2,6000,1057351
1018263,1,3000,1018263
1018606,1,3000,1018606
1019161,1,3000,1042267
1019751,4,12000,1019751
1019953,3,9000,1019953
1021646,2,6000,1053972
1021685,5,15000,1021685
1021805,16,48000,1021805
1021831,1,3000,1021831
1021834,3,9000,1031944
1021852,2,6000,1021852
1021931,1,3000,1021931
1021997,1,3000,1021997
1022792,2,6000,1022792
1023271,1,3000,1023271
1023471,1,3000,1014503
1023476,1,3000,1023476
1023491,16,48000,1023491,1018816,1058656
1023494,5,15000,1023494
1023903,1,3000,1023903
1025469,1,3000,1025469
1025684,4,12000,1025684
1025849,9,27000,1025849
1025850,7,21000,1025850
1025943,1,3000,1025943
1026403,1,3000,1026403
1026406,2,6000,1026406,1014260
1026661,1,3000,1026661
1026782,2,6000,1026782
1027841,10,30000,1027841
1030159,1,3000,1030159
1033625,1,3000,1033625
1039375,4,12000,1039984
1039376,1,3000,1039376
1042753,1,3000,1042753
1047907,1,3000,1047907
1048305,2,6000,1048305
1049310,1,3000,1049310
1049594,1,3000,1049594
1056373,1,3000,1056251
