1013653,1,4708,4708
1013770,2,9416,9417
1013868,1,4708,4708
1014034,4,18832,18773
1014035,1,4708,4692
1014036,4,18832,18784
1014038,1,4708,4692
1014040,9,42372,42266
1014043,30,141240,140880
1014044,18,84744,84528
1014047,4,18832,18784
1014049,1,4708,4694
1014055,1,4708,4692
1014057,2,9416,9384
1014065,1,4708,4709
1014071,1,4708,4697
1014072,5,23540,23480
1014082,1,4708,4708
1014085,1,4708,4710
1014127,2,9416,9417
1014130,2,9416,9416
1014133,10,47080,46925
1014156,1,4708,4708
1014235,1,4708,4692
1014237,1,4708,4692
1014238,1,4708,4694
1014239,2,9416,9384
1014240,3,14124,14090
1014242,4,18832,18772
1014243,4,18832,18772
1014244,1,4708,4692
1014249,3,14124,14079
1014250,1,4708,4692
1014252,1,4708,4693
1014253,1,4708,4692
1014254,2,9416,9418
1014255,1,4708,4692
1014256,3,14124,14090
1014258,3,14124,14126
1014267,7,32956,32958
1014271,12,56496,56312
1014272,1,4708,4692
1014274,4,18832,18771
1014276,11,51788,51620
1014277,40,188320,187872
1014278,1,4708,4692
1014279,3,14124,14090
1014280,24,112992,112623
1014282,5,23540,23540
1014283,2,9416,9416
1014285,2,9416,9416
1014301,1,4708,4708
1014439,11,51788,51622
1014441,3,14124,14081
1014442,3,14124,14083
1014475,1,4708,4692
1014529,1,4708,4692
1014591,6,28248,28178
1014786,2,9416,9416
1014812,4,18832,18770
1014823,1,4708,4692
1015105,1,4708,4692
1015193,2,9416,9384
1015215,3,14124,14125
1015217,1,4708,4708
1015614,1,4708,4708
1016253,1,4708,4708
1016286,1,4708,4708
1016369,1,4708,4708
1016402,1,4708,4692
1016520,1,4708,4708
1016837,1,4708,4708
1017069,6,28248,28176
1017116,3,14124,14083
1017564,5,23540,23480
1017992,2,9416,9417
1018263,1,4708,4708
1018606,1,4708,4708
1019161,1,4708,4698
1019751,4,18832,18765
1019953,3,14124,14088
1021646,2,9416,9416
1021685,5,23540,23540
1021805,16,75328,75328
1021831,1,4708,4709
1021834,3,14124,14125
1021852,2,9416,9416
1021931,1,4708,4708
1021997,1,4708,4694
1022792,2,9416,9416
1023271,1,4708,4708
1023471,1,4708,4708
1023476,1,4708,4708
1023491,16,75328,75330
1023494,5,23540,23468
1023903,1,4708,4692
1025469,1,4708,4709
1025684,4,18832,18772
1025849,9,42372,42230
1025850,7,32956,32842
1025943,1,4708,4708
1026403,1,4708,4709
1026406,2,9416,9385
1026661,1,4708,4708
1026782,2,9416,9416
1027841,10,47080,46962
1030159,1,4708,4708
1033625,1,4708,4698
1039375,4,18832,18832
1039376,1,4708,4708
1042753,1,4708,4710
1047907,1,4708,4708
1048305,2,9416,9416
1049310,1,4708,4708
1049594,1,4708,4708
1056373,1,4708,0
